name,address,city,postcode,country,lat,lng,website,operator,phone,opening_hours
New Inn,Coventry Road,Birmingham,B26 1DG,GB,52.4614149,-1.8134818,,,,
Bulls Head,Stratford Road,Birmingham,B28 9EF,GB,52.4288593,-1.8420569,,,,
The Maggies,165 Shirley Road,Birmingham,B28 9LA,GB,52.4320393,-1.8355251,,,,
Olton Tavern,Lode Lane,Solihull,B92 8NU,GB,52.4391067,-1.7827166,https://www.emberinns.co.uk/nationalsearch/eastandwestmidlands/the-olton-tavern-solihull,,,
The Highwood,,Birmingham,,GB,52.4369819,-1.7883999,,,,
The Fighting Cocks,1 St Mary's Row,Birmingham,B13 8HW,GB,52.4470434,-1.8877045,,,+44 121 449 0811,
The Dark Horse,145 Alcester Road,Birmingham,B13 8JP,GB,52.4460313,-1.8889278,,,,
The Village,,Birmingham,,GB,52.4452416,-1.889974,,,,
The Robin Hood,1456 Stratford Road,Birmingham,B28 9ES,GB,52.4233937,-1.8373611,,,,
Greville Arms,Cornyx Lane,Solihull,B91 2RB,GB,52.4219188,-1.7658449,,,,
Sharmans Cross,,Birmingham,,GB,52.4141613,-1.8082124,,,,
McDwyer's,,Birmingham,,GB,52.4562632,-1.8647139,,,,
The Tiger,Walstead Road,Walsall,WS5 4DP,GB,52.5633762,-1.9644285,,,,
The Old Horns,Queslett Road,Birmingham,B43 7EQ,GB,52.5535457,-1.9089367,,Sizzling Pubs,,
Missing Bar,Bromsgrove Street,Birmingham,B5 6NU,GB,52.4736642,-1.8959871,,,,
The Anchor,308 Bradford Street,Birmingham,B5 6ET,GB,52.4745277,-1.8885269,https://www.anchorinndigbeth.co.uk/,,+44 121 6224516,
subside,Digbeth,Birmingham,B5 6DA,GB,52.4755998,-1.8896722,,,,
The White Swan,,Birmingham,,GB,52.4737191,-1.8862793,,,,
The Adam & Eve,Bradford Street,Birmingham,B12 0JD,GB,52.4714943,-1.8803361,,,,
Cat And Fiddle,Beacon Road,Birmingham,B43 7BY,GB,52.5583332,-1.911773,https://www.greeneking.co.uk/pubs/west-midlands/cat-and-fiddle,,,"Mo-Su ""please add opening times"""
Hennessy's,Allison Street,Birmingham,B5 5TJ,GB,52.4774835,-1.8894785,,,,
The Craven Arms,1 Upper Gough Street,Birmingham,B1 1JG,GB,52.4750621,-1.9037838,,,,
The Brasshouse,44 Broad Street,Birmingham,B1 2HP,GB,52.4777935,-1.9113105,https://www.greatukpubs.co.uk/brasshouse-birmingham,Stonegate,,
